,Negative Review 1,Negative Review 2,Negative Review 3,Positive Review 1,Positive Review 2,Positive Review 3,restaurant
80,none,none,none,"This is my favorite local bar in Riverdale! They offer a variety of flavors for wings which is always a plus. Additionally, they have vegetarian/vegan options which is amazing and not something you see at small bars. They also have brunch on Saturdays and Sundays where you and friends can partake in bottomless mimosas (they have other options too) because who doesn't love a boozy brunch?!My boyfriend and I try to come here at least once a week because not only is their food great, but the service is extraordinary. From the staff to the owner, Anthony, they are all kind, respectful, and make you feel welcomed. Anthony caters to everyone who walks into his restaurant which once again is amazing and I wish you could see this more at other local bars.If you have not checked out this place, what are you waiting for because you are FOR SURE missing out!!!","Had another great happy hour stint with our good friends, sort of a second birthday celebration for my girlfriend's husband. Anthony was the bartender on staff today and he was awesome!! He took really good care of us and was very attentive. He was awesome.My new favourite dish is their mac and cheese with their curry gravy....sooo friggin good! I got some waffle fries for good measure as well. I tried their spinach dip dumplings which were ok but very dependent upon being eaten right away.This is definitely a new favourite haunt. My friends and I love coming here. It may be putting me St a disadvantage but please patronize this business and help them stay relevant.","T&H is a great addition to this neighborhood. It's located right across the street from Van Cortlandt Park so you can make a full family day of it. I've visited twice, the first time with girlfriends after a run in the park. It was happy hour and we all shared some guac, shrimp tacos which were AWESOME and a couple reasonably priced drinks. My second time was a few days later when I treated hubby to a boozy brunch for his birthday. AYCD is an extra $20 which gives you 2 hours of your choice of brunch beverage. Their brunch menu is nice. We started off with their Korean BBQ wings which were sooo tasty, and we also tried their French Onion Soup Dumplings which were cute little dumplings filled with onion soup and covered in a blanket of melted cheese. My son and I both ordered their Salmon Benedict which I didn't too much care for, only because I didn't taste the smoked salmon that much but my sine liked it. Hubby had their breakfast burger and he loved it. I definitely want to come back for happy hour again. It's great because I often jog down to the park with my daughter for a workout and some park play so stopping by for a quick bite and a drink before heading home would be super convenient. On both occasions, the staff has been so very pleasant and helpful, even when baby girl put the kung fu grip on hubby's drink and caused a cascade all over our table. For brunch, we tried their French Onion Soup Dumplings,",Tortoise & Hare
81,none,none,none,"I came here for dinner on a Sunday night and despite the crowded waiting area, I was seated within 15 minutes. There's lots of seats inside but it's still definitely busy. The service was decent. I feel like our server barely checked up on us so it took a while to order extra things or just to get refills on drinks. I also don't think we got all of our side orders with our entrees. It was only when I asked the server if it comes with corn, for example, that he would bring it over.For appetizers, I usually get new england clam chowder and fried calamari. The clam chowder isn't the best but still tasty. The fried calamari is definitely different than other places. It has a breading that is similar to the breading of mozzarella sticks. I got fried shrimp and a whole red snapper which came with fries. The fries were realllyyyy good. It was crispy, seasoned well and pretty thick. The red snapper was fishier than I had liked and wasn't seasoned that well. The fried shrimp was also decent so I didn't really find that entree worth it.I always go for the ""feasts for 2"" and the portions are HUGE! They definitely serve more than 2 people. The staff says that it is good for 4-5 people, but I think it can feed up 8 people! They also serve bread and cold veggies which are alright. I have tried the Italian Feast and the Paella from the feasts for 2 and they take a while to come to the table but they are soooo filling. It's stuffed with all types of seafood and definitely a hands on meal so expect to get messy. The seafood in the Italian feast actually wasn't as good as I liked. The crab legs were really hard to break apart; the shells were already softened but it just wouldn't break. The mussels and lobster was also kind of small and didn't have a lot of meat.Overall, I think that the Sammy's chain is great for big parties and sharing the feasts! It's super filling and almost guaranteed to have leftovers.","Giving three starts to be generous. They teeter totter between a 2 and a 3. I came with a large group and was surprisingly sat in at  table in a reasonable amount of time. Our server was polite, but could have been more attentive. Water often went without being refilled and the table could've been cleaned off faster (salads and appetizer plates).Food was bland and was not seasoned well. If it wasn't for the tartar sauce or sauce tray my fish and shrimp would have been lifeless. Fiancés salmon seemed to be seared in straight butter or grease but no other flavor at all. Drinks were good, they have a tasty sangria mix.I'm going to stick with my tried and true JPs which is located right when you get off the bridge.","LOVE SAMMY'S!!!!! I've been coming here since I was a kid. I still love this place the same way. My family and I come here often and now my child requests to come here for her birthday dinners. I've gotten so many items from the menu.I LOVE the Feast for 2. I've gotten The Crab & Lobster one. I also got The Italian Feast. So good and ALOT of food. The twin lobster special is SO good. I've had it stuffed with crab meat and its WORTH IT. I highly recommend it. The crab legs are great. I've gotten it with broiled shrimp.All the entrees come with salad. Corn bread. Roll. Butter and cheese. A cold veggie platter (they should stop serving it because that's not really good). They also give you rice and corn which I never really eat, i always forget to ask them not to give me this, I feel like they should ask the customers if they want it. Saturdays they have free face painting for the kids. I think that's a sweet touch. It gets JAMMED pack here. I've learned to make a reservation and I try to stay clear of this place during busy times (Saturdays from 5pm to 10pm. Sundays from 3pm to 7pm). During the winters it isnt as crowded as the summer time. Mothers day is CRAZY here. I learned my lesson and only come on Mothers Day between 11am and 12pm plus I make a reservation. Take out here is great. You get all of the same items you would as the sit down dinner. It's fast and the gentlemen behind the counter knows how to keep the flow going. I hate their website. You cant order ANYTHING through the website. I wish they would update their system. Either way I love Sammy's. I come here alot and truly dont plan on stopping.",Sammy's Fish Box Restaurant
82,Great store and deli. Open all night and the quality never suffers. I love this place for their Italian specialty sandwiches. I just woofed down a number 34 and regret nothing. Please visit this place you won't be disappointed. bon appetit,none,"ordered from here via grubhub bc of all the good reviews. they can't be serious. over $20 for 2 average little sandwiches. i might as well have gotten them from my deli PLUS a drink for $10. overpriced AND average, ridiculous.",none,The only place to go for a sandwich! Fast service and delicious sandwiches for a good price. Open 24 hours and nothing beats a 4am Philly cheesesteak after a night of boozin.,none,Pruzzo's Stop One Deli
83,none,"Not worth it at all. We drove up to NY just to eat dinner. I can say they accommodated us even though we walked in right at closing which is why they get two stars other than that NO. The service horrible. They took over 15 minutes to even say hi or acknowledge us once we sat. Then we get our order taken and it took awhile to come out. When we got our food it was typical and nothing special. They forgot the cheese for the cheese fries and we asked them for some and they said we don't have anymore. Even though this was part of our order. We asked for other items which they forgot to give us and the young boy looked at us crazy and just kept walking. No apology no nothing for the bad service, messing up our order, and quality. We finally got our shakes which where made to go without asking us and it was so plain and something I could make at home. Never again!",none,"This is a cute mom and pop establishment......it is VERY small inside ......and not like it appears on social media......it is on a corner of a side street and is a store front with an apartment building on top....  it is SMALL.NEVERTHELESS I enjoyed my experience.....I went with my 6 year old daughter whi has now labeled this as one of her favorite places......the waitstaff was extremely pleasant food was good and served in no time.......I personally did not find the place to be over priced at all.I will say this is a spot you to go for a quick bite...munchies....not a ""meal"".....I will most definitely return when in the area....",none,"1st time visit-a ten minute wait time to sit, place packed. Parking is found around the block or on E. Tremont  Ave. Small place, very busy and slow service, young servers but not very friendly (little smiling would go a long way). After people left, floor under table was not cleaned. After food came, server never came back to check if we needed more water or anything. Had to wave server to place shake order and get the check, which took longer still. Giving the benefit of the doubt, it was a Sunday afternoon and workers were probable tired and over worked.Shakes cute but were over-priced because of the fancy decor on the outside.Variety food menu options for everyone and kids but not overwhelming --so thats good.  colorful menus.Food: nice presentation, big portions, decent reliable food, nothing WOW about it but good taste. Some menu options:patacón, steak and onions, rice and beans, chicken and waffles, chicken tender, empanadas, etc",Jenavies Cafe
84,none,Usually enjoy the service and food at this diner..Would recomend to anyoneUsually order breakfast omelets etc.,none,Love this place for breakfast. Staff is super friendly and the food is great ! I've placed orders on the phone for pick up and also have ordered in person for take out and my order always comes out exactly how i want it. When I dine in I am always accompdated. Love this place.,none,"National Diner is an ideal place to grab a bite and go. I went in after exiting dmv. It's in a great location, with a decent amount of foot traffic, close to Castle Hill Avenue. I was greeted by one of the waitresses there, as other customers were eating their meals. The setting and decor was simple; old-school but clean. It has a good number of sitting booths, as well as the usual variety of tables and chairs. I ordered a cup of coffee; which I found it that it tasted odd. I also ordered the Hungry Woman breakfast special. It consisted of French toast, ham, sausage, bacon and eggs any style. I requested turkey ham, sausage and bacon. The eggs were fried, sunny side up. Each egg had a slice of cooked ham underneath. I noticed that the yolks were a little undercooked. Sadly, that was the first turnoff moment I had. I said to myself, no problem. I simply scraped the raw egg yolks off to the edge of the plate. However, the meat products were extremely salty to my taste. The ham was the saltiest of all. I tried eating a piece of French toast with maple syrup, along with a piece of the meat products. The combination was too much. I simply took two bites of each item. I ended up eating the cooked portions of the eggs, and most of the French toast. That was the best thing I had out of the breakfast combo. I regret not having some cinnamon to sprinkle on top. I would definitely come back to this restaurant, maybe for some pancakes with a fresh fruit topping. Overall, the decor and service were amazing.",National Diner
85,none,none,none,I've never run a restaurant before but I have no idea how cooks manage a 10 page menu. But they everything we had was good. I like it. Food comes quick. People are nice. Bar isn't open yet but I'm sure that will resolve itself since there's a martini glass in their logo.,I miss Sage but this restaurant is probably better suited for the college crowd. Typical diner menu; sounds like their specialty is chicken wings. Everything comes out quickly which is nice but we're going to be longing for Sage for some time.,"This place has the menu and feel of a nice diner. Appreciate the outdoor seating. The presentation and service was very nice. The ciabatta roll on my chicken sandwich tasted like an average grocery store roll, I enjoyed everything else. The fries are served in a metal cup with paper. They are the type that seem to have a coating, medium style not steak, not fast food style. My husband loved them, I don't care as much for the coating style fries but they were decent. We will be back to try other items. Nice view of Iona campus and trees across the street.",The Mirage Restaurant & Café
86,none,none,none,"A friend mention Estrellita Poblana and said if I ever wanted a good bite of Mexican food that I should stop in, this place has a great vibe and was nice and fresh as you walk in, comfortable setting, ac was blowing cool which surely helped when the hot plates came out. Today I decided to go light with a order of guacamole to start with some nacho chips and also a chimichangas for the meal. Must say both tasted great and also felt the customer service was pretty fast. Please those tho it was a early dinner and this may effect services due to later times as I hear it is a popular eatery. So be mindful anyway yet again this please was fantastic and the food tasted great. Some photos attached as well.","NORMALLY, I eat there in person. This time, my pops ordered food to pick up and go. BAD IDEA. Quesadilla al pastor w/ side salad $15Guacamole and chips $15Enchilada de pollo con mole $15.95PLUS TAX $4.05 (which is NOT the correct charge)TOTAL = $52!! He paid with his debit card and they charged a ""NON-CASH ADJ"" for $2 more bucks HE GOT ROBBED! Read your receipts before you leave! Not for nothing... but food was still good lol.","My family and I visited for the first time, the restaurant had all tables occupied upon arrival. We were seated right away. Service was great and most of all, our food came out so quickly. We were impressed! Will definitely revisit. Would recommend to family and friends.",Estrellita Poblana
87,none,none,none,"3.5 rating - I have been coming to Brisas since 2002, and even though it was much better back in the days, my favorites are consistently good. My go to favorites are the cuban, chicharron de pollo, and chicken soup. I recently had the sancocho and was disappointed with how tough the meat an veggies was. Service is good and food is priced well.","We came on a weekend night and it was busy. There were a lot of people waiting to take out and we were able to get a table immediately. Food were delicious and they were big portion at affordable price. We ordered the whole rotisserie chicken for 10 dollars, pernil with a side for 12 dollars and little appetizers for 1.5 dollars each. Their dishes were not as greasy as others Dominican restaurants. Portions were huge and we saw majority of people taking doggie bags home. The rotisserie chicken was a little dry on the white meat side, but it was fresh. The pernil was really good and it is highly recommended. They served actual meat and not fat like some others restaurant- we were glad about that too. We ordered flan too-it had a strong vanilla taste and it was semi-solid texture, which we believed they over baked; it was a little small in comparison with the meal and price. It was not our favorite and probably we liked more softer texture. Service was a little slow and it was hard to get a waitress to order or get the bill. Once you get her attention, everything was fine. It is not fancy place, but a great to hang out if you are searching for a great meal without breaking the bank.","We came on a weekend night and it was busy. There were a lot of people waiting to take out and we were able to get a table immediately. Food were delicious and they were big portion at affordable price. We ordered the whole rotisserie chicken for 10 dollars, pernil with a side for 12 dollars and little appetizers for 1.5 dollars each. Their dishes were not as greasy as others Dominican restaurants. Portions were huge and we saw majority of people taking doggie bags home. The rotisserie chicken was a little dry on the white meat side, but it was fresh. The pernil was really good and it is highly recommended. They served actual meat and not fat like some others restaurant- we were glad about that too. We ordered flan too- it had a strong vanilla taste and it was semi-solid texture, which we believed they over baked; it was a little small in comparison with the meal and price. It was not our favorite and probably we liked more softer texture. Service was a little slow and it was hard to get a waitress to order or get the bill. Once you get her attention, everything was fine. It is not fancy place, but a great to hang out if you are searching for a great meal without breaking the bank.",Brisas Del Caribe
88,none,none,Long story short don't even waste your time it's large portions of unseasoned food  for the large portions  for the quality but if you're up for tasteless food and just want to fill your stomach for a quick buck be my guest,"This is a hole in the wall place with great food. What makes me come back is the owner. She is the sweetest woman! Once I saw her give a neighborhood kid some cookies from the display case because he came to say hello to her. Another time, a man who probably did not have money to pay just ran out of the shop with his food without paying. She did not say a bad word or got upset. I respect her for doing that because no one knows another man's  problem unless one walks in his shoes. If he could run away without paying, he must be going through something in his life. Onward with the food, the food is very tasty. I do expect that from a Trinie. She looks like a Guyanese though.  My favorite is their rotis...any one of them. The doubles are very good as well. I sometimes would get the buss up shut to go so I could have them with my own curry at home. I wish her longevity!","I've been going to this spot for years. I found it when I lived in the Bronx and continued to go even after I moved to Westchester. Now I live in Long Island and still, no where else compares. Authentic Trini cuisine at it's best. I've been to the other Ali's in Brooklyn and Queens and this place blows them out of the water. From the roti to the doubles, the stew chicken to the curry goat, you can't go wrong. The staff is as friendly as family. Just ask, they will make it however you like it.",none,Ali's Roti Shop
89,none,"This used to be my favorite spot, until I was insulted by asking me to choose 2 menus. Here's the situation. I came in with my wife, and another couple. My wife and I were having the ""all you can eat"" menu, and the other couple were having something else. The owners gave us a choice for the whole table to eat ""all you can eat"" or choose separate menu. All this to insure that the other couple would not eat off our plate. That was ridiculous. I will never come back here again. To insinuate that grown adults cannot share a table and pay their own bills is absolutely absurd.At the end of the day, I really believe they must have new management because this has never happened to us before.",none,"Great AYCE sushi spot. Salmon tartar is one of the best I've ever had. All of the rolls I have ever ordered were always fresh and delicious. Worth the price if your a sushi  lover. The rest of the menu, Chinese food, is just ok. Average Chinese food but I mostly come for the sushi anyway. Like other reviewers have said, Asian lady with short hair and glasses is very rude you just have to put her in her place a little bit, but the guys are great",none,"This place is only worth it if you're doing the all you can eat sushi buffet. We went on a Sunday and the sushi tasted fresh, the appetizers were good, and the service was fine. I'm giving them 4 stars instead of 5 because the waitress spoke zero english and couldn't answer basic questions about the food. Not bad for a sushi place located in the Bronx. Will go back for sure!",Shangerila Restaurant
90,none,"Every time i come here eat diner\lunch the food i want they never have this dish!! Waiter/waitress they dont care, The bathroom is Always running out hand wash soap and it's broken and the bathroom smells so nasty, Never again this restaurant im going to totally stop this place!!!",none,"Big place.  Men's bathroom is disgusting.  It smells bad like they never clean it and there was no soup in the dispenser.  Service was a little slow but the waitress was courteous. We wanted some grilled fish but they had none.  At this point we were ready to walk out but decided to order some appetizers instead.  I'm glad we decided to stay. The food was really good.  We had hummus, foul, fasouli and tabouleh with the pita bread.  Everything was tasty and freshly made.  I've become a fan of Yemeni food.",none,"Wow!! Good service, kind, friendly and attentive. Hummus is one of the best and I truly say that. The amazing lavash ( thin bread) I believe is made per order. I made one mistake, came here alone, it's a definitely feast for foodies!",Oasis Mediterranean Restaurant
91,none,none,none,This is the best lunch spot in the Bronx for authentic Italian food. It's amazing especially the antipasto appetizer with different cheese and meat. They have samples galore and the customer service is impeccable :) I would recommend everyone to come here at least once in their lives. Not only is this part of a huge market but it also has other areas where you can sit down and eat and there's a bar too ! I absolutely loved the food here and the service. I wish there was one closer to me in queens but this is worth the drive to the Bronx ! I can't wait to bring my parents here they would live it ! - signed a true Italian Bella,"Oh man this place...this place.... best freaking Italian sandwiches I've ever had in my entire life!!!!! If you want a legit Italian experience- go here! Their menu is vast, their meat is fresh, and everything just tastes Devine. I had the Wanderer with the works. Best freaking peppers I've ever had in my life! There isn't much seating but just take it to go and eat it!",Seriously the best Italian sandwiches in ny! We stopped in here prior to our trip at the Bronx Zoo so that we had some yummy treats to snack on while we walked around to see all the animals. I ended up with a chicken cutlet miliese and it was to die for! All their sandwich combos sound out of this world and are crafted on amazing freshly baked breads. Any option you go with here you really can't go wrong.,Mike's Deli Arthur Avenue
92,none,none,none,"This was our first time patronizing this restaurant.  As Realtors, it's likely that on a Sunday, after open houses or working with clients we want to sit down andhave a nice meal and recap the events and encounters.  We decided to have an late lunch/early dinner and could not decide what town and restaurant we would patronize.  We were going to one of our usual go to spots in Pelham, but I saw this update populate on my Yelp about the hot and new restaurant on 5th.  I am a Yelper of all experiences so I perused the photos and read a couple of the reviews.  Although there were a small quantity of reviews, the rating was 5.  We decided we would try the restaurant out, it looked inviting.I told my sister we should try it because the reviews were great.Upon entering the restaurant we were greeted with smiles, phenomenal service, beautiful atmosphere, and delicious food. Tony, the owner  came to the table to greet us after dinner with complimentary port wine and biscotti.  Magnificent!!! We ordered~Arugula saladCanadian baconCalamari Rib eyeCreamedSpinachFried onion stringsWine Rose for my sister Chianti for meEverything was delicious!  The only things is we ordered our rib eye medium, next time it will have to be medium rare.This will be our go to spot for lunch and dinner and client meetings.","It's rare I find a star in the culinary world but when I do I love to yell it from the blog tops! A star quality restaurant consists of all five points of your dining experience to be excellent.  I have found this in the newly opened Macelleria Italian Steakhouse on 5th Avenue in Pelham where the old Jordan house use to be. We actually were referred by my salon across the street after a visit and decided to try them. Upon entering, you know they have gone to extremes to make this the ultimate dining venue with crimson leather menus,  chandeliers, elegant music streaming in, a stunning bar area, every table dressed in linen whites with gleaming stemware, stunning mirrors adorning the walls and above all a team of impeccably dressed servers waiting to seat you and coddle you! Our waiter Val was very professional and charming helping us with our selections on a moderately sized menu. Along with menu choices, they had specials of the day and can also  appease many special requests. We started with the meatballs with a nice dollop of mascarpone and basil. Very nice sauce and the meatballs were delicious! Also, we ordered the fresh made creamy burrata with juicy  heirloom tomatoes over arugula which was complimented with an aged balsamic! Onto our entrees of braised short ribs which were superb with a braising sauce over a sumptuous mushroom risotto! A gorgeous dish! My cavatelli was perfect with strips of sausage and broccoli rabe in a nice light garlic and extra virgin oil toss.  Simple yet so satisfying! Since we were so full we decided not to order one of their home made desserts of Italian Cheese cake, Tiramisu Cake or a number of other decadent treats, so we ordered the dark chocolate pistachio gelato and the tartuffo gelato. One of the owners Tony checked on us numerous times and also gave us complimentary cordials of Lemoncello at the end. I am very excited to return to try one of their steaks with an array of sauces or one of their fish dishes such as their Branzino or Chilean Sea Bass! Bravo!!",I am writing this update for two reasons:1) After my first visit a few weeks ago I had some leftovers the next day and the food was better than I remembered it the night before (I was also three sheets to wind by the tine I got much of my food that night so that had something to do with it.)2) Had our return visit and the place hits the elusive 5-stars on so many fronts it really deserves it.  We kept it a bit light last night but my branzino was as good as I've EVER had it!  Tony the the owner is such a consummate professional that I can't begin describe.  Please go try it for yourself!Tony!  Save me a seat because you won't be able to get in there pretty soon!,Macelleria Italian Steakhouse
93,none,none,none,"The tacos were super good (I thought maybe the best tacos I've had in a while but maybe it was because i was super hungry) and the price was just right. The staff was super friendly even though there was a bunch of customers coming in at different directions since there wasn't a clear cut line (every man for themselves in this case). There is no sitting area but there is a little ""table"" connected to the truck to just stuff down your tacos really quickly. I thought the taste of the tacos were superb to be honest, but my friend didn't like it because he said it was too spicy. I usually don't like large pieces of scallions but the way the grilled it made me eat my friend's scallion too. For $2, the tacos are the way to go if you are near the bronx zoo and want a quick little snack. I'd go back even if I'm not near by just because I thought it was delicious.","$2 a taco ain't shabby at all.You can place your order over the phone. I had a quick and easy pick up myself. The tacos are a good size - I tried the beef tongue and spicy pork. I liked the grilled leek that came in one the tacos, which added a nice taste to it. Definitely one of the better tacos that have come out of a NY food truck.","After work treat. Really good!!!! We love the chorizo and carnitas. And the vegetables... And the sauces. Pretty close to perfect. Pretty close to the California Taco Truck we compare all tacos to. Thank yous, yous made our day.",Tacos El Bronco II
94,none,none,none,"This place exceeded my expectations. First off, location is not the greatest but when you're inside it does NOT feel like you're in the Bronx. I didn't have a reservation but I was seated right away. The restaurant is beautiful ! They have 3 floors and wide enough space to host an event. The food was amazing ! You get what you pay for. The drinks were great and not your basic cocktail. Would definitely come back here for date night","*** update***Changing my review from previous... we've been coming to Suyo a few times a month, to a point one of the partners already knows us... yet today, we came directly from the airport, I was craving the mofongo and my husband the chicken wings... only to be disappointed on the flavor.. did the old chef quit?!! Something is totally off. He also ordered the short rib, which he has ordered numerous times... but had the send it back. Not sure what changed but somethings is definitely different. Not to mention, currently, as we sit here, there is a semi private event at the bar from a local politician.. who wants to dine while this politician is talking on the microphone? We came to eat! I suggest next semi private event should be held upstairs in their private event or just shut down the place. **Below is my old review**Love this place. My husband and I have visited Suyo a few times and the consistency of the service, the food flavor and drinks are always exceptional. Once you walk into this place you forget you are in the Bronx. The waiter, Gonzalo, is amazing, great customer service, super friendly, and very professional. We love the fried veggie rice w- egg and avocado. My husband loved the short rib and and pork chop. In terms of drinks, the bubbles and dreams is amazing, the coconut margarita is to die for. Highly recommend this restaurant. Great ambiance, great customer service, great food, great drinks, happy hour from 4p-7p mon-sat.","Love this place. My husband and I have visited Suyo a few times and the consistency of the service, the food flavor and drinks are always exceptional. Once you walk into this place you forget you are in the Bronx. The waiter, Gonzalo, is amazing, great customer service, super friendly, and very professional. We love the fried veggie rice w- egg and avocado. My husband loved the short rib and and pork chop. In terms of drinks, the bubbles and dreams is amazing, the coconut margarita is to die for. Highly recommend this restaurant. Great ambiance, great customer service, great food, great drinks, happy hour from 4p-7p mon-sat.",Suyo Gastrofusion
95,none,none,none,"What a great place, love this cozy little bronx spot,keep up the good work and the food is amazing!!I order here at least 4 times a week, and all my orders are correct, not once have i had a bad experience,the staff amazing, the cook on point and the lady in the front, i think she is the owner always smiling and very friendly.I have family coming in this weekend, and can't wait to bring them here.","The Amigo burger was delightful, comes with fries. Can't wait to try their variety of other burgers.",I discovered this place through grubhub and was surprised that they delivered to city island. The food here is great. The salad is definitely worth more than the amount they charge. Will definitely keep ordering from here since besides amazing food they have great service.,Lettuce Eat
96,none,none,none,"Hot dang! We were on our way to Rhode Island for work and found ourselves driving through New York and hungry. I pulled up my trusty Yelp app and bagel places kept popping up. We were in the Bronx and I'm like, okay let's just do it. Bagels on Bartow was it, we found parking at a meter out front and walked in. Super hole in the wall joint and right up our alley. We asked all the questions and the girl behind the counter was So helpful. We picked our two breakfast sandwiches and got a free bagel for checking in with Yelp, yay! My total came to like $8 or $9 and that made me jump for joy! Such a cheap breakfast and I was so full after. I went with the pumpernickel bagel and boy was that a win. Guys, I wish I could eat that bagel every day but I live in Ohio! This was such a wonderful find, if we head that way again, I'm stopping and getting a dozen for the road!","Twice in 1 week I was very disappointed with my experience here.. The first thing was a dish called the ASCH loop. It is described as: seasoned potatoes, sausage, egg and cheese. Sounded good. When I got to work I opened up the container and found mostly potatoes mixed with pieces of sausage, browned ( over cooked ) egg pieces and some cheese that obviously melted into the entire mess. Nothing but the potatoes was really recognizable and the entire visual presentation was  like someone dumped all of this food mush into a container and closed the lid quickly. The next day I figured I would just go back to a sesame bagel with vegetable cream cheese. Well, that's what I ordered. When I got to work I opened up my bag to a plain bagel with butter. I paid $5.50 for a large coffee and  this?Called Bagels on Bartow and  staff did say that the kitchen incorrectly labeled the bag.  So someone that wanted a plain bagel with butter got my toasted sesame with veggie cream cheese ?After traveling to work ( about an hour later) the plain bagel was tasteless and the butter did nothing to help the matter. I was told that I could get back the price difference  of this order and what I ordered. Thanks, and I will do this. However for 2 days in a row my breakfast was ruined and not at a cheap price.Like I said, bagels are good,but they gotta do better with the orders, and I don't even know what the solution is to that ""ASCH loop"" thing.","I'm not really a breakfast person but if I'm having a local breakfast it is here. The service is awesome! The bagels are delicious, they have just enough chewiness. I love them! Their white fish salad is some of the best. If they get an order wrong they are happy to correct it for you, sounds like a given but someplaces will argue with the customer for their wrong. As I am typing, I realize I would like a white fish salad on a toasted sesame bagel with lettuce and onions. Yummers!",Bagels On Bartow
97,none,Fast serve food that tastes so wonderful. Cachapas...shredded beef....OMG! Get it loaded with everything. Only negative is that the wait can be long.,Small family place with Very good food. The neighborhood around is not cute but this place is worth to visit.,Amazing palitos de queso !!!! Their food is so goooood definitely would recommend this place to anyone. Lines are long but definitely worth it and service is fast,none,none,Cachapa Cachapa
98,none,none,none,"First time here, & my first time trying tofu curry and it was sooo good ! And the lentils patties also definitely going back for some food and grocery","A Vegan Oasis in the Bronx, NY, that is a destination to be sought out. This Mom and Pop shop,  has awesome flavorful food to nourish your body! More good news! You can shop for your holistic needs too! So much flavor and so many positive vibrations eminating from inside.Seek it outl","*update 12/6/18* they close at 6pm now*Food is fresh, and creative every time I come. I usually stick to the same boring vegan meal, but this place has opened my tastebuds to, bbq ribs, cornmeal, porridge and many more veggies that I used to stay away from. There's so much here, from Vitamins, waters, teas and herbs and foods to makes yourself at home, you'll never be disappointed in the endless options of food and choices.",Vegans Delight
99,none,none,none,Good spot in Inwood to grab drinks or a bite to eat especially for happy hour. The happy hour menu is limited. There are literally 4 food items on it. But the steak mofongo is good albeit it's comes with it's on moat. The appetizer menu is longer and not priced much higher. Drinks are good and strong. Their mojito are amazing and the passion fruit sangria is strong and will sneak up on you.Wait staff is fun and attentive. However one day the water boy was refiling water glasses like he was paying for the water himself (barely half filing the glass). The live dj on Friday nights is cool. They have the videos to the song he plays project off their TVs. However upon the second time you realize his playlist gets repeated probably every time he plays.,"I'm so disappointed in the entire experience I had at this restaurant from beginning to end.Upon arrival my party of 6 including myself were not allowed to be seated indoors because my 1 year old was present, The hostess failed to explain why but I did notice it was because there were people smoking hookah so in this case I'm glad we were seated outside.What really needs help at this restaurant is the food. My God is the food terrible. My boyfriend ordered the Churrasco mofongo and the Churrasco tasted awful it was not seasoned whatsoever and just had a nasty taste to it. The mofongo itself was very dry it came with some sauce but that didn't even save it. The rest of us ordered the ropa vieja and there was just nothing special to it. The rice was hard the beans tasted like they had no seasoning. Looking at all the pictures I was really excited to eat here but it was a complete disappointment. Our waiter was very nice and tried to accommodate us the best he could but it seemed like he was the only waiter working tonight. We waited about 10-15 minutes just so he could bring out a birthday dessert. Then when they brought the check out it had to be reprinted because the charged us for an order they got wrong; yeah that happened too; so that was another 10 minutes. I just hope the food and service get better. Either way I don't think I would be returning to this establishment 1 time was enough for me.","I came here with some coworkers after work... we have done this a few times at Brown Sugar, and this place is a hit or miss.There have been times that we have so much fun and the service is amazing... The food is good, for the price... The strawberry mojito is EVERYTHING; you must try it! The music has been cool, with the DJ playing music and the videos to the songs he is playing being projected on the screen... Dancing, well at least my coworkers and I do :').Then, there have been times that the music is whack... if you have been to Brown Sugar more than once, you will realize that they play the same (limited) songs. There have been times when they have a different team, and the girls seem angry to be working on a Friday night. I guess the type of service you get depends on who is working on the day you go!",Brown Sugar Restaurant
100,My go to ...authentic Puerto Rican  cuisine Definitely try the pasteles and the pupo  is slamming...decent service..always busy .,I was very very disappointed with this restaurant. I order the shimp in garlic sauce ，the price is $18，and I just got 5shrimps in the bowl as attached and a salad.,"Not going to waste my time with a rant on here..Anyone who has ordered from this place for a while should notice the quality is getting worse and worse..Especially with the pernil, its continuously dry and bland..Reevaluate that staff because something has changed in the past...",none,none,none,El Bohio Tropical Square Restaurant
101,none,"I would of love to sit and eat there but in google and yelp it says they open at 10am, I waited till 11 and I saw the ladies go in at 11am I went in the restaurant and saw that the place was not fixed, the tables and chairs were put away and they kitchen light was off, I asked what time they open and they said 12:30 ugh I'm so disappointed I wanted to taste their food.",The horcata is so bad. It's very thick and doughy. I am waiting for my pupusas. Will update review once I have tried.,"love the pupusas w. curtido here. they're filling yet refreshing, delicious, and affordable. nice drink selection too.",none,none,Pupuseria Salvadoreña
